participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
1, Spatiotemporal Gradient,178.7597,6.9359,0,1.1504,0,0,0,3.3613,1.031,0.12618,0.05226,0.87398,0.61338,1.6191,1.0236,0.27109,2.01E-05,0
2, Spatiotemporal Gradient,1509.489,1.4318,0,0.52261,0,0,0,1.412,0.88427,0.15564,0.56359,0.49982,1.0757,1.0165,0.13252,0.65787,0.25841,0
3, Spatiotemporal Gradient,1182.5719,4.7459,0,4.1524,0,0,0,2.2402,1.1641,0.39168,0.49971,0.49611,0.41288,0.32007,0.0085521,0.0093687,0.25015,0
4, Spatiotemporal Gradient,1180.5381,3.3448,0,0.67433,0,0,0,1.4888,0.76772,0.23272,0.38514,0.81201,1.1504,0.82762,0.80873,0.44774,0.25901,0
5, Spatiotemporal Gradient,1172.7513,2.7243,0,3.2508,0,0,0,1.8303,1.333,0.26159,0.16355,0.74649,0.0041435,0.32613,0.0063119,0.36384,0.18997,0
6, Spatiotemporal Gradient,1233.5472,3.425,0,1.1786,0,0,0,4.0039,2.4757,0.057526,0.13849,0.81491,0.60131,0.7022,0.99679,0.90781,0.18689,0
7, Spatiotemporal Gradient,1252.717,2.04,0,3.1587,0,0,0,1.1685,1.5791,0.083966,0.13124,0.9006,1.0127,1.1881,0.0034284,0.90202,0.27637,0
8, Spatiotemporal Gradient,752.0888,5.0478,0,0.67859,0,0,0,1.6691,1.0059,0.030625,0.36507,0.49895,0.10814,1.0493,0.47931,0.81857,0.16529,0
9, Spatiotemporal Gradient,1507.3808,3.433,0,3.4909,0,0,0,2.9199,1.8749,0.1015,0.37228,0.90207,0.011263,0.011621,0.096576,0.44277,0.049117,0
10, Spatiotemporal Gradient,1330.1158,2.3074,0,2.0529,0,0,0,1.3791,1.3749,0.094825,0.1292,0.53166,0.0087959,0.16634,0.0086323,0.89448,0.15574,0
11, Spatiotemporal Gradient,1137.1364,4.0742,0,4.7294,0,0,0,2.3224,1.4933,0.23023,0.31859,0.5131,0.69888,0.26253,0.99217,0.33776,0.08892,0
12, Spatiotemporal Gradient,1350.3886,0.92006,0,2.9628,0,0,0,1.1545,0.70528,0.17985,0.21347,0.68772,0.18462,0.7792,0.99336,0.0087484,0.27835,0
13, Spatiotemporal Gradient,1825.7169,2.8522,0,0.84814,0,0,0,1.9459,1.4641,0.080528,0.80192,0.50025,1.5084,2.2135,0.59891,0.44202,0.12359,0
14, Spatiotemporal Gradient,1212.357,4.46E-05,0,1.7937,0,0,0,1.0686,0.69037,0.18353,0.027309,0.48955,2.5128,0.74451,0.20505,0.85784,0.24527,0
15, Spatiotemporal Gradient,1115.3685,0.69045,0,1.9412,0,0,0,1.0673,0.69822,0.033252,0.68749,0.75441,0.90184,0.76741,0.12551,0.0096616,0.26449,0
16, Spatiotemporal Gradient,1463.4111,2.4904,0,3.6322,0,0,0,1.7775,1.7289,0.12486,0.28624,0.78907,0.0079814,0.59041,0.0063117,0.55798,0.10343,0
17, Spatiotemporal Gradient,867.6316,4.7921,0,4.246,0,0,0,1.9295,0.9372,0.20794,0.4922,0.90576,0.074597,0.20516,0.99337,0.0084856,0.25804,0
18, Spatiotemporal Gradient,1313.6853,1.6434,0,3.1948,0,0,0,2.7009,1.6387,0.00029158,0.040774,0.91863,1.2907,1.2537,0.2767,0.73253,8.47E-05,0
19, Spatiotemporal Gradient,1517.5693,4.3439,0,1.1363,0,0,0,2.5092,1.0961,0.11715,0.40247,0.71399,0.76276,0.51171,0.97307,0.89998,0.25176,0
20, Spatiotemporal Gradient,1641.6569,4.2107,0,1.8689,0,0,0,3.6236,1.7352,0.18706,0.32243,0.49799,0.34145,0.60174,0.010453,0.50124,0.26955,0
21, Spatiotemporal Gradient,1063.3591,5.0699,0,4.0287,0,0,0,1.7594,0.9473,0.30826,0.45256,0.64281,0.41542,0.55414,0.1599,0.47139,0.22211,0
22, Spatiotemporal Gradient,861.3722,3.839,0,3.3607,0,0,0,0.94369,1.3738,0.14007,0.12625,0.70919,0.47091,0.57944,0.0049444,0.85117,0.22364,0
23, Spatiotemporal Gradient,1968.6369,2.2584,0,1.3221,0,0,0,2.4979,1.7395,0.10981,0.24055,0.8087,0.68671,0.36519,0.061408,0.87637,1.57E-06,0
24, Spatiotemporal Gradient,1180.0142,3.6979,0,3.2136,0,0,0,2.0667,1.0951,0.19848,0.33467,0.65186,0.50431,0.0047971,0.013493,0.61046,0.20701,0
25, Spatiotemporal Gradient,1371.6021,6.2467,0,0.012938,0,0,0,2.0586,1.1493,0.25372,0.61699,0.49565,0.77264,0.52275,0.29995,0.0028804,0.26076,0
26, Spatiotemporal Gradient,1786.3363,1.4016,0,0.044549,0,0,0,3.8876,1.7877,6.60E-06,0.26086,0.90471,3.1032,1.8137,0.64372,0.87547,0.056894,0
27, Spatiotemporal Gradient,948.099,4.5278,0,1.2927,0,0,0,1.6796,0.95092,0.05826,0.51874,0.5316,1.3048,1.017,0.98834,0.48349,0.26942,0
28, Spatiotemporal Gradient,1196.3389,5.4402,0,3.8053,0,0,0,2.3719,0.9234,0.038982,0.80683,0.49975,0.49541,0.0086877,0.035117,0.68654,0.2222,0
29, Spatiotemporal Gradient,1404.5838,1.7007,0,9.78E-05,0,0,0,1.0256,1.5877,0.17395,0.071196,0.49017,0.2704,0.83675,0.47447,0.86481,0.255,0
30, Spatiotemporal Gradient,1296.1229,0.32367,0,2.4126,0,0,0,1.0763,0.7003,0.28655,0.19731,0.49734,0.0071689,1.5157,0.48832,0.49976,0.2772,0
31, Spatiotemporal Gradient,160.7802,6.8795,0,2.2243,0,0,0,1.9667,0.94952,0.094194,0.17427,0.87732,0.0096439,0.56508,0.95905,0.43244,0.20404,0
32, Spatiotemporal Gradient,1421.8047,4.2443,0,0.84872,0,0,0,2.4245,1.0737,0.14632,0.70943,0.727,0.93659,0.011784,0.67132,0.29932,0.20837,0
33, Spatiotemporal Gradient,1848.8874,4.1897,0,2.9354,0,0,0,2.4735,1.6927,0.28815,0.64168,0.50595,1.4862,0.74408,0.46001,0.41898,0.053106,0
34, Spatiotemporal Gradient,1627.8081,2.7891,0,1.762,0,0,0,3.623,1.6138,0.32338,0.29521,0.49494,0.40883,0.69703,0.092129,0.060413,0.17716,0
35, Spatiotemporal Gradient,2105.1051,1.4615,0,1.3714,0,0,0,3.3889,2.0453,0.13164,0.40583,0.60259,0.35875,0.53295,0.58587,0.7066,0.2079,0
36, Spatiotemporal Gradient,824.1723,4.8489,0,0.00011046,0,0,0,1.4196,0.7959,0.050407,0.59164,0.4978,0.84731,2.4913,0.0050417,0.33898,0.25448,0
,,45809.9044,3.343672907,0,2.091635701,0,0,0,2.117666389,1.280663889,0.152308977,0.356595528,0.660679167,0.704473156,27.4172298,0.407845514,0.515302158,0.188159537,0
