participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, Ter, st
1, Temporal Gradient,123.2561,7.5008,0,2.3417,0,1.08E-05,0.0045285,3.5849,1.932,0.013768,0.1708,0.67801,0.90634,1.1521,5.42E-05,0
2, Temporal Gradient,1520.3673,1.272,0,0.00040855,0,0.19817,0.146,1.0292,1.3318,0.74998,0.24978,0.9039,2.0156,4.3721,0.23601,0
3, Temporal Gradient,1180.2717,5.1919,0,4.6833,0,0.08323,0.0019332,2.4124,1.1557,0.28037,0.55159,0.45907,0.88069,1.089,0.25152,0
4, Temporal Gradient,1176.1495,3.2993,0,0.61937,0,0.79523,0.00011315,1.5151,0.74263,0.47423,0.34248,0.59979,0.14947,0.01197,0.25988,0
5, Temporal Gradient,1186.9713,3.057,0,3.0685,0,0.61388,0.41084,1.8118,1.126,0.45006,0.34581,0.22807,0.0038731,2.0065,0.23402,0
6, Temporal Gradient,1210.3029,2.7514,0,4.89E-05,0,0.56062,0.70855,4.0088,0.93414,0.26048,1.04E-05,0.38124,0.016302,0.70133,0.076568,0
7, Temporal Gradient,1261.9085,1.4455,0,3.2196,0,0.25082,0.23568,1.0084,1.4388,0.39532,0.18006,0.47196,0.38422,0.25925,0.29336,0
8, Temporal Gradient,756.6292,4.5115,0,0.80703,0,4.80E-06,0.47968,1.4377,0.91037,0.28026,0.20233,0.47158,1.2031,1.0423,0.18469,0
9, Temporal Gradient,1505.6155,3.4626,0,3.4904,0,0.23086,0.20954,2.7295,1.771,0.1288,0.43535,0.66057,2.2129,0.18745,0.1014,0
10, Temporal Gradient,1337.6042,3.2682,0,0.95494,0,0.17726,0.38769,1.4796,1.0931,0.056528,0.71777,0.77223,0.61486,0.39937,0.19078,0
11, Temporal Gradient,1156.6517,3.7818,0,5.3048,0,6.07E-05,0.10304,2.0441,1.3688,0.069276,0.40175,0.0099499,0.55841,0.7477,0.12454,0
12, Temporal Gradient,1333.6791,2.0838,0,0.00099126,0,0.24319,0.30413,1.5582,0.8064,0.24812,0.60392,0.78073,0.50859,2.2152,0.28059,0
13, Temporal Gradient,1822.9349,1.1705,0,2.34E-05,0,0.1082,0.10345,1.4536,1.663,0.76786,0.033141,0.42026,1.555,1.3886,0.14013,0
14, Temporal Gradient,1218.5785,0.0095285,0,1.6514,0,0.085698,0.45617,1.0035,0.75781,0.35433,0.23485,0.85511,0.91808,2.0857,0.26527,0
15, Temporal Gradient,1092.8165,4.8523,0,0.11556,0,0.22163,0.00011812,1.537,0.80777,0.10801,0.80385,0.90159,0.93897,1.9615,0.24501,0
16, Temporal Gradient,1483.6196,2.1485,0,2.9008,0,0.7741,0.06797,2.122,1.5407,0.25741,0.17799,0.34734,0.84449,0.53886,3.42E-05,0
17, Temporal Gradient,863.4696,4.9821,0,4.8462,0,0.0035836,4.05E-05,2.012,0.93712,0.33504,0.46748,0.76342,0.81376,0.009298,0.25648,0
18, Temporal Gradient,1315.0284,1.7168,0,0.36329,0,0.18954,0.17094,2.8028,1.2871,0.021294,0.048429,0.0031674,1.5793,1.2173,1.34E-05,0
19, Temporal Gradient,1535.4961,3.7426,0,5.0585,0,0.002518,0.60696,2.9326,1.6046,0.20711,0.48682,0.089597,0.89917,0.10974,0.098317,0
20, Temporal Gradient,1677.9613,3.2182,0,1.6955,0,0.26307,6.77E-06,2.9409,1.8587,0.53064,0.16543,0.62631,0.30595,0.57911,0.29912,0
21, Temporal Gradient,1095.5117,3.3448,0,2.0773,0,0.38249,0.29519,1.2099,0.69074,0.89631,0.10367,0.59408,0.30225,0.43887,0.2546,0
22, Temporal Gradient,872.9091,7.4984,0,0.63123,0,0.28856,0.52956,1.6405,0.67711,0.2473,0.75268,0.47088,0.010086,0.1302,0.25157,0
23, Temporal Gradient,1981.9247,2.1226,0,1.2233,0,0.50637,0.33419,2.437,1.6412,0.63144,0.36247,0.65815,0.86901,1.0851,0.05204,0
24, Temporal Gradient,1193.2803,3.4886,0,2.4806,0,0.24948,0.097058,1.8321,0.90396,0.78078,0.21919,0.47302,0.3791,0.076923,0.24473,0
25, Temporal Gradient,1434.8972,3.2878,0,4.0229,0,0.30463,0.087058,1.4843,1.2725,0.064005,0.52541,6.77E-05,0.87636,0.0046204,0.23324,0
26, Temporal Gradient,1787.9611,1.4343,0,1.6591,0,1.43E-05,0.7341,4.0047,1.5911,0.21234,0.10109,0.39221,0.69363,2.0536,0.00037421,0
27, Temporal Gradient,949.3775,4.5124,0,1.138,0,0.28672,0.4391,1.7258,0.983,0.030104,0.5383,0.87899,0.83956,0.91666,0.26011,0
28, Temporal Gradient,1188.9428,5.0092,0,0.00024652,0,0.51173,0.17559,2.1293,0.85802,0.17707,0.78139,0.33401,2.0747,0.81923,0.2388,0
29, Temporal Gradient,1400.7881,1.6385,0,0.41001,0,0.12142,0.70499,1.0074,1.151,0.56653,0.43347,0.3764,0.56544,2.0639,0.25602,0
30, Temporal Gradient,1304.3078,0.64416,0,1.2962,0,0.29363,0.39195,1.3366,0.81095,0.21903,0.77368,0.52192,1.143,0.95162,0.28623,0
31, Temporal Gradient,177.2802,6.481,0,2.194,0,0.28966,0.087387,1.8086,0.80121,0.29648,0.06373,0.65374,0.03215,0.22419,0.21527,0
32, Temporal Gradient,1424.954,4.2121,0,0.14652,0,0.20605,0.90029,2.388,1.039,0.23198,0.68404,0.66548,1.1414,1.1384,0.21844,0
33, Temporal Gradient,1856.8458,0.77723,0,1.8233,0,0.036451,0.041199,1.725,1.3496,0.31502,0.19393,0.35618,0.8596,0.18905,0.080921,0
34, Temporal Gradient,1627.9086,2.5556,0,1.6939,0,0.011208,0.41272,3.5861,1.7717,0.17031,0.31275,0.41888,0.30904,0.33618,0.12634,0
35, Temporal Gradient,2109.1468,1.5274,0,1.3777,0,0.28341,0.00028719,3.3937,2.002,0.42363,0.45359,0.25563,1.0511,0.16115,0.27121,0
36, Temporal Gradient,823.4034,5.0953,0,0.64302,0,0.017698,0.011563,1.4776,0.81924,0.058623,0.61439,0.059235,0.31787,1.3258,0.2487,0
,,45988.751,3.252658847,0,1.776102463,0,0.238644368,0.267767011,2.072519444,1.206385278,0.314162167,0.375928343,0.487021307,0.799260308,0.944163094,0.188232833,0
