participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, pure guess,72.7316,165.4633,7.1948,0,0.49592,0,0.92065,0.015142,0.10472,0.012781,2.7273,1.8398,0.14944,0,0.5,0,0,0,0,0,0,0,0,0.1,0
2, pure guess,766.1333,1552.2666,1.0713,0,1.9321,0,0.44564,0.075593,0.62722,0.096678,1.2414,0.66377,0.34547,0,0.5,0,0,0,0,0,0,0,0,0.32475,0
3, pure guess,584.1604,1188.3209,5.4026,0,0.65339,0,0.61021,0.076972,0.049616,0.080243,2.4156,1.1156,0.65643,0,0.5,0,0,0,0,0,0,0,0,0.27056,0
4, pure guess,600.8932,1221.7863,1.5606,0,0.49898,0,0.53544,0.038686,0.47478,0.12007,1.1833,0.65877,0.36666,0,0.5,0,0,0,0,0,0,0,0,0.30597,0
5, pure guess,581.1648,1182.3296,3.3608,0,2.3583,0,0.90185,0.020418,0.055146,0.12441,1.8469,1.0769,0.51946,0,0.5,0,0,0,0,0,0,0,0,0.25798,0
6, pure guess,597.1792,1214.3584,2.0698,0,1.6382,0,0.91073,0.060628,0.28589,0.070702,3.0294,0.97506,0.010019,0,0.5,0,0,0,0,0,0,0,0,0.2204,0
7, pure guess,622.3,1264.6,1.4801,0,0.49943,0,0.90459,0.041376,0.40502,0.077617,1.2563,0.71591,0.5002,0,0.5,0,0,0,0,0,0,0,0,0.32667,0
8, pure guess,368.1078,756.2155,5.4086,0,0.59291,0,0.9033,0.047951,0.54486,0.15182,1.7523,1.093,0.42774,0,0.5,0,0,0,0,0,0,0,0,0.16564,0
9, pure guess,761.4859,1542.9718,2.6416,0,0.48813,0,0.02613,0.089148,0.52204,0.039805,2.0479,1.6352,0.33018,0,0.5,0,0,0,0,0,0,0,0,0.18548,0
10, pure guess,665.239,1350.478,1.0968,0,0.91285,0,0.83327,0.09405,0.19391,0.010066,1.1623,0.90389,0.35372,0,0.5,0,0,0,0,0,0,0,0,0.22461,0
11, pure guess,574.5232,1169.0465,2.5856,0,1.3672,0,0.91908,0.19044,0.039919,0.041956,1.6182,1.0231,0.28506,0,0.5,0,0,0,0,0,0,0,0,0.19133,0
12, pure guess,652.182,1324.364,1.9022,0,1.1175,0,0.90249,0.1022,0.050559,0.069137,1.5998,0.80542,0.62233,0,0.5,0,0,0,0,0,0,0,0,0.2842,0
13, pure guess,904.0644,1828.1288,1.0975,0,0.5001,0,0.089895,0.10319,0.3695,0.061741,1.5751,1.3618,0.66243,0,0.5,0,0,0,0,0,0,0,0,0.16392,0
14, pure guess,665.1225,1350.245,1.0834,0,2.6788,0,0.57838,0.40505,0.39693,0.010387,0.94456,0.53466,0.45492,0,0.5,0,0,0,0,0,0,0,0,0.447,0
15, pure guess,539.2339,1098.4679,1.27,0,3.4504,0,0.9048,0.049683,0.48401,0.12403,1.1284,0.69923,0.67141,0,0.5,0,0,0,0,0,0,0,0,0.26403,0
16, pure guess,728.9832,1477.9664,1.8235,0,1.4491,0,0.9172,0.090762,0.046824,0.22689,1.6835,1.0376,0.29408,0,0.5,0,0,0,0,0,0,0,0,0.15563,0
17, pure guess,426.6975,873.3949,4.9276,0,0.50085,0,0.28063,0.021869,0.049232,0.024872,1.9148,0.90645,0.55694,0,0.5,0,0,0,0,0,0,0,0,0.27402,0
18, pure guess,636.4966,1292.9931,2.2597,0,0.91044,0,0.91233,0.043427,0.2096,0.15613,3.0067,1.0133,0.071074,0,0.5,0,0,0,0,0,0,0,0,0.12844,0
19, pure guess,760.6955,1541.3911,3.2178,0,0.49806,0,0.91461,0.032345,0.4135,0.043059,2.4842,1.3715,0.52072,0,0.5,0,0,0,0,0,0,0,0,0.18969,0
20, pure guess,856.1059,1732.2118,1.0879,0,0.54452,0,0.92485,0.10514,0.57586,0.045386,1.8037,0.80879,0.012643,0,0.5,0,0,0,0,0,0,0,0,0.47337,0
21, pure guess,539.681,1099.362,4.4798,0,4.2128,0,0.14026,0.050729,0.6814,0.049958,1.5432,0.90724,0.7571,0,0.5,0,0,0,0,0,0,0,0,0.24877,0
22, pure guess,431.8674,883.7348,1.098,0,0.49816,0,0.765,0.051849,0.32745,0.16192,1.2407,0.63516,0.78027,0,0.5,0,0,0,0,0,0,0,0,0.26175,0
23, pure guess,1009.9833,2039.9665,1.06,0,0.98438,0,0.93347,0.12001,0.59542,0.19579,1.8334,0.80289,0.11583,0,0.5,0,0,0,0,0,0,0,0,0.25668,0
24, pure guess,592.7988,1205.5976,5.1661,0,0.49984,0,0.56236,0.036264,0.24178,0.047723,2.6598,1.0553,0.69692,0,0.5,0,0,0,0,0,0,0,0,0.24651,0
25, pure guess,718.2866,1456.5732,1.1046,0,3.0131,0,0.90154,0.010003,0.22005,0.081533,1.0397,1.582,0.18479,0,0.5,0,0,0,0,0,0,0,0,0.29696,0
26, pure guess,915.4571,1850.9142,1.1378,0,0.4989,0,0.12867,0.13072,0.43828,0.20403,3.0281,1.6855,0.2034,0,0.5,0,0,0,0,0,0,0,0,0.20709,0
27, pure guess,460.7996,941.5992,4.5064,0,1.1829,0,0.90135,0.091195,0.12731,0.088803,1.7057,0.96035,0.53799,0,0.5,0,0,0,0,0,0,0,0,0.27107,0
28, pure guess,589.2839,1198.5678,2.1731,0,0.50584,0,0.89945,0.054046,0.74432,0.054396,1.453,0.81483,0.70489,0,0.5,0,0,0,0,0,0,0,0,0.24625,0
29, pure guess,748.2545,1516.5089,1.0742,0,1.5748,0,0.40548,0.15268,0.060621,0.11462,1.1391,0.58822,0.44422,0,0.5,0,0,0,0,0,0,0,0,0.39,0
30, pure guess,648.8792,1317.7584,4.7151,0,0.57567,0,0.044535,0.13566,0.2456,0.24243,1.4111,0.99668,0.79805,0,0.5,0,0,0,0,0,0,0,0,0.25247,0
31, pure guess,67.7518,155.5035,6.94,0,1.8402,0,0.9045,0.044321,0.40209,0.029042,2.0151,1.0753,0.24882,0,0.5,0,0,0,0,0,0,0,0,0.20292,0
32, pure guess,713.4425,1446.8851,1.5372,0,0.50379,0,0.91205,0.17503,0.16606,0.05848,1.5177,0.93767,0.49153,0,0.5,0,0,0,0,0,0,0,0,0.23633,0
33, pure guess,922.5399,1865.0799,1.0957,0,0.50075,0,0.89302,0.051769,0.044812,0.38995,1.7627,1.1207,0.32037,0,0.5,0,0,0,0,0,0,0,0,0.17194,0
34, pure guess,861.6162,1743.2324,1.0979,0,0.49565,0,0.90338,0.064736,0.51674,0.056202,2.346,0.68452,0.024757,0,0.5,0,0,0,0,0,0,0,0,0.20618,0
35, pure guess,1095.8566,2211.7132,1.0534,0,0.49342,0,0.91892,0.049995,0.029155,0.21456,2.4555,1.0566,0.08481,0,0.5,0,0,0,0,0,0,0,0,0.43497,0
36, pure guess,400.482,820.9639,5.1791,0,0.58607,0,0.70449,0.04764,0.048507,0.045827,1.5197,0.84444,0.62221,0,0.5,0,0,0,0,0,0,0,0,0.24401,0
,,,,2.67,0.00,1.14,0.00,0.70,0.08,0.30,0.10,1.81,1.00,0.41,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00
